==================================================================================================================
   ID      SALE PRICE      LOT AREA     STREET     OVERALL      OVERALL      KITCHEN      YEAR      NEIGHBORHOOD
   ↓           ↓              ↓           ↓        QUALITY     CONDITION     QUALITY      BUILT          ↓
==================================================================================================================
  496        34900          7879         Pave         4            5           TA         1920         IDOTRR      
  917        35311          9000         Pave         2            3           TA         1949         IDOTRR      
  969        37900          5925         Pave         3            6           TA         1910         OldTown     
  534        39300          5000         Pave         1            3           Fa         1946         BrkSide     
  711        52000          4130         Pave         3            6           TA         1935         BrkSide     
  1338       52500          4118         Pave         4            4           Fa         1941         OldTown     
  706        55000          5600         Pave         4            5           Fa         1930         IDOTRR      
  1326       55000          3636         Pave         4            4           TA         1922         IDOTRR      
  813        55993          8712         Grvl         5            5           Fa         1952         IDOTRR      
  1381       58500          8212         Pave         3            3           TA         1914         Edwards     
  411        60000          9571         Pave         5            3           TA         1958         Edwards     
  637        60000          6120         Pave         2            3           Fa         1936         BrkSide     
  1101       60000          8400         Pave         2            5           Fa         1920         SWISU       
  376        61000          10020        Pave         1            1           Fa         1922         Edwards     
  463        62383          8281         Pave         5            5           TA         1965         Sawyer      
  1433       64500          10800        Pave         4            6           TA         1927         OldTown     
  875        66500          5720         Pave         5            6           TA         1941         OldTown     
  399        67000          8967         Pave         5            2           TA         1920         IDOTRR      
  621        67000          8248         Pave         3            3           TA         1914         Edwards     
  1280       68400          7500         Pave         4            4           TA         1920         IDOTRR      
  1322       72500          6627         Pave         3            6           TA         1949         BrkSide     
  265        73000          5232         Pave         5            5           TA         1925         OldTown     
  916        75000          2001         Pave         4            5           TA         1970         MeadowV     
  615        75500          1491         Pave         4            6           TA         1972         MeadowV     
  384        76000          9000         Pave         6            3           TA         1928         SawyerW     
  251        76500          5350         Pave         3            2           Fa         1940         BrkSide     
  330        78000          6402         Pave         5            5           TA         1920         IDOTRR      
  156        79000          9600         Pave         6            5           TA         1924         Edwards     
  243        79000          5000         Pave         5            4           TA         1900         OldTown     
  1327       79000          4270         Pave         3            6           Gd         1931         Edwards     
  590        79500          9100         Pave         5            6           TA         1930         BrkSide     
  432        79900          5586         Pave         6            7           TA         1920         OldTown     
  936        79900          5825         Pave         4            5           TA         1926         BrkSide     
  1040       80000          1477         Pave         4            4           TA         1970         MeadowV     
  1144       80000          9000         Pave         5            3           TA         1959         Sawyer      
  1145       80000          12180        Pave         4            4           Fa         1941         Edwards     
  1219       80500          6240         Pave         4            5           TA         1947         BrkSide     
  387        81000          8410         Pave         5            3           TA         1910         Edwards     
  435        81000          1890         Pave         4            7           TA         1972         MeadowV     
  1062       81000          18000        Grvl         3            4           TA         1935         IDOTRR      
  342        82000          8400         Pave         4            4           TA         1950         SawyerW     
  1001       82000          10206        Pave         3            3           Fa         1952         Edwards     
  309        82500          12342        Pave         4            5           TA         1940         Edwards     
  633        82500          11900        Pave         7            5           TA         1977         NWAmes      
  1324       82500          5330         Pave         4            7           Fa         1940         BrkSide     
  1379       83000          1953         Pave         6            5           TA         1973         BrDale      
